"","strain","rep","a","b","z","AIC","N.obs"
"1","ATCC13985","1","2228.50026218074","0.782142328099361","0.0536503761492855","-192.837162216318","66"
"2","ATCC13985","2","2392.03488189098","0.743002767336544","0.0543790095588216","-191.056036329797","66"
"3","ATCC13985","3","4056.77556014618","0.423727738775098","0.0706520410157081","-131.880411770148","56"
"4","ATCC13985","4","3700.584655196","0.485364385696393","0.0527191530550777","-164.668404289086","56"
"5","ATCC43928","1","1481.72772786335","0.551520796142358","0.0748063274729874","-148.956291495384","66"
"6","ATCC43928","2","1334.59149096265","0.613412490253064","0.0847568162930027","-132.46723885337","66"
"7","ATCC43928","3","17871.7494028191","0.312004688775998","0.0504677356328651","-169.561987353807","56"
"8","ATCC43928","4","8079.19870000277","0.651026237904409","0.0410659353702515","-189.100528573684","55"
"9","KBS0701","1","355.917383932873","0.457831841402399","0.0829089420643043","-141.806354029505","69"
"10","KBS0701","2","352.094796001259","0.510682899362765","0.100148873146165","-115.736628311383","69"
"11","KBS0701","3","301.815451083227","0.548353023695135","0.0190950254930575","-49.866728544014","11"
"12","KBS0701","4","366.957691654397","0.531509069504892","0.026973761895592","-42.2669440152206","11"
"13","KBS0701","5","551.433851032645","0.407563556347247","0.10691267910471","-88.7479595829096","58"
"14","KBS0701","6","338.923741479509","0.485167736086048","0.0800313815190457","-124.553981397206","59"
"15","KBS0702","1","1247.27481651309","0.67685737795458","0.0486094851718033","-157.706952277053","51"
"16","KBS0702","2","1691.88882966174","0.596273373302262","0.044264237483458","-167.26248707866","51"
"17","KBS0702","3","4058.88443733378","0.477064037346213","0.0417010288554709","-166.312059623038","49"
"18","KBS0702","5","1787.02546368952","0.617885138700696","0.0453666446362216","-158.055407789164","49"
"19","KBS0702","4","3372.98958264918","0.507260840925221","0.0479606994907428","-155.843574114968","50"
"20","KBS0702","6","1291.286813023","0.686316313561174","0.0460304692297865","-156.634346357727","49"
"21","KBS0703","1","5782.50212772807","0.398767975853603","0.0396546416953176","-178.477234748944","51"
"22","KBS0703","2","2479.17130244176","1.08935010650298","0.058527361406687","-138.76839279867","51"
"23","KBS0703","3","6097.94211462138","0.426528336729805","0.0321901440155591","-191.679684236573","49"
"24","KBS0703","4","7212.29032152243","0.378535274124738","0.0303622859165439","-193.260084570091","48"
"25","KBS0703","6","2145.42188563339","0.564061680153721","0.0362789589014011","-100.262909907939","28"
"26","KBS0703","5","1196.06078566842","0.709925233245075","0.0529178192043706","-73.0425171762535","26"
"27","KBS0705","1","900.141788731119","0.594696899321537","0.0831818813038032","-55.9319440613119","29"
"28","KBS0705","2","20260.5941671982","0.253262491317362","0.0856722036679951","-93.6715238491149","48"
"29","KBS0705","3","5781.25956092135","0.343712901713043","0.0752270820291254","-106.158589723119","48"
"30","KBS0705","4","1960.08494243797","0.405974332221917","0.0960083872604795","-82.7412747027075","48"
"31","KBS0706","1","4481.44388299136","0.646325951247229","0.0622118443007728","-118.962386083415","46"
"32","KBS0706","2","3055.77048868807","0.820797915210473","0.0681947435701814","-110.513716712857","46"
"33","KBS0706","3","5586.32488325792","0.64057693155402","0.0524951333878902","-134.583225760627","46"
"34","KBS0706","4","4351.8598998257","0.739273771892924","0.0518183954750746","-135.777298668048","46"
"35","KBS0707","1","9630.03061107697","0.33043588887872","0.0623063532990329","-124.249312947837","48"
"36","KBS0707","2","11909.9469446861","0.294131971348398","0.0940307708711289","-84.7389193263352","48"
"37","KBS0707","3","5135.6186637199","0.332641798728548","0.0907083323198303","-88.1911502009995","48"
"38","KBS0707","4","9448.50289723002","0.335800825460083","0.0810518304416109","-98.9959525024086","48"
"39","KBS0710","1","2001.72583717547","0.440228750376645","0.059679302512744","-131.181829099837","49"
"40","KBS0710","2","2408.45450346175","0.385745348580392","0.0576946281091275","-134.498497468391","49"
"41","KBS0710","3","1064.27510786203","0.574639658220768","0.0561735652897651","-140.03735748055","50"
"42","KBS0710","4","774.614876041254","0.610029004486667","0.0594511364766916","-134.368798316468","50"
"43","KBS0711","1","1257.23854138036","0.334860065329594","0.0533641068025633","-214.70236742232","73"
"44","KBS0711","2","1968.1823932533","0.362610466562209","0.0463125696001429","-235.392512775908","73"
"45","KBS0711","3","2235.44469960293","0.299224825360255","0.0443965904981923","-241.562192427142","73"
"46","KBS0711","4","572.509207039001","0.512389925956532","0.0289855008674097","-53.4168273969762","14"
"47","KBS0711","11","5453.45296408974","0.852627621282698","0.0523267419144789","-180.819081430223","61"
"48","KBS0711","10","1700.08082542585","2.11701754167738","0.0685547232306381","-130.206246884411","54"
"49","KBS0711W","1","2303.6051631784","0.336444372878466","0.0536504444712304","-162.710600708364","56"
"50","KBS0711W","2","1049.68076815242","0.450122121103038","0.0770294350108062","-122.204402721416","56"
"51","KBS0711W","3","2428.81201639132","0.364240676504525","0.0677653918310387","-136.551841431822","56"
"52","KBS0711W","4","3791.95555855628","0.332247569070897","0.0721271301668692","-129.565728073047","56"
"53","KBS0712","1","4738.61845182396","0.36766616283651","0.0617730504919721","-122.345938086169","47"
"54","KBS0712","2","18489.7358403287","0.255821910163685","0.0474574021550377","-150.377749821325","48"
"55","KBS0712","3","10278.5509297339","0.294950595886073","0.0492179370225891","-143.702523636729","47"
"56","KBS0712","4","159520.434700227","0.182631423400728","0.0535490878699946","-138.792596146607","48"
"57","KBS0713","3","21960.6968065781","0.221001063284189","0.0615695627312475","-130.862200944188","50"
"58","KBS0713","4","7661.62452993994","0.246202185316868","0.051176598127289","-149.352997807626","50"
"59","KBS0713","1","9116.8822920024","0.244489049956392","0.0483999244841697","-151.711401196456","49"
"60","KBS0713","2","4403.16684813856","0.302260923078114","0.0437756242855952","-161.552444574753","49"
"61","KBS0714","1","142.280958769474","1.56087385523911","0.117941136941","-28.4949195595964","24"
"62","KBS0714","2","144.212713370592","1.61923574258809","0.112419764850087","-30.7947392341311","24"
"63","KBS0714","3","143.527041642099","1.42626002465078","0.112640738394484","-30.7016951941888","24"
"64","KBS0714","4","142.71204499489","1.54411720960657","0.119870527577642","-27.7144136567794","24"
"65","KBS0715","1","5491.02062171846","0.197038878717688","0.0535666532948318","-205.105240058897","70"
"66","KBS0715","2","3797.97215582568","0.199709068682889","0.0530370575596718","-206.499537243365","70"
"67","KBS0715","3","4195.25449824173","0.192231924641013","0.0558213719558876","-199.332645535705","70"
"68","KBS0715","4","3849.26207223752","0.211386128798341","0.0518108683377505","-209.765380529823","70"
"69","KBS0721","1","1523.75825217903","0.418646325527284","0.0581332804610191","-185.093740114268","67"
"70","KBS0721","2","2035.88461775997","0.323395412980137","0.0703985380964868","-159.44307012899","67"
"71","KBS0721","3","1653.54500466725","0.287738047420339","0.0666169787491771","-166.838773769908","67"
"72","KBS0721","4","1589.48631920539","0.357709849184903","0.0768224047808871","-147.736632202113","67"
"73","KBS0722","1","7018.51937059885","0.423727951241589","0.0530955271139538","-139.603219134557","48"
"74","KBS0722","2","28070.426910052","0.303541424871353","0.0541602288554674","-137.701786056071","48"
"75","KBS0722","3","15379.1793241217","0.343650046747047","0.0577151283095","-131.598723136843","48"
"76","KBS0722","4","11551.0429790322","0.345730181538112","0.0661213759960693","-115.947229096958","47"
"77","KBS0724","1","1052.37418043512","0.653658395690825","0.0604109037073167","-124.43886327825","47"
"78","KBS0724","2","1200.89277266147","0.616775502937806","0.0524493562571876","-137.724116867569","47"
"79","KBS0724","3","949.025398073269","0.713721249013716","0.0540072941366365","-134.974638897164","47"
"80","KBS0724","4","1021.60559596394","0.631069959133991","0.0604265725763644","-124.417326948506","47"
"81","KBS0725","1","446.525973809972","0.958199792725626","0.0895300425020973","-85.4706102093763","46"
"82","KBS0725","2","440.506000855405","1.09675439841862","0.0912212381575557","-87.6487577735051","48"
"83","KBS0725","3","405.224267311132","1.06726166276275","0.098149582615909","-78.8184233470082","47"
"84","KBS0725","4","393.187829613463","1.03793406228518","0.103490567880559","-75.5365716209825","48"
"85","KBS0727","1","986.780099096385","0.462204016670523","0.0630467944932189","-88.1436985525402","35"
"86","KBS0727","2","600.830505045341","0.709367119776139","0.0902184746406284","-78.8468456600787","43"
"87","KBS0727","3","497.561056900395","0.925666701951897","0.0990609366144877","-90.4530391677153","54"
"88","KBS0727","4","495.923715419894","0.893765328538601","0.0929497726780935","-74.3674937697036","42"
"89","KBS0801","1","2734.1747710636","0.663731490974433","0.0398301108003568","-152.768914028952","44"
"90","KBS0801","2","2642.43087735131","0.648330540817872","0.038437215137919","-155.902945784918","44"
"91","KBS0801","3","2812.87404169069","0.64087792740789","0.0493854169046123","-133.845887393885","44"
"92","KBS0801","4","2581.20640997319","0.790386555514665","0.058080572059053","-116.719742949033","43"
"93","KBS0802","1","1442.13478273494","0.55777435428265","0.0973234402216031","-114.223457783665","66"
"94","KBS0802","2","1570.55543238814","0.529773983878585","0.10577180336506","-103.232787545427","66"
"95","KBS0802","3","1400.67001861955","0.578525131886982","0.0996669318820619","-111.080033828587","66"
"96","KBS0802","4","1414.62240702687","0.569543299504895","0.106306804992244","-100.923997709865","65"
"97","KBS0812","1","76814700799.5693","0.180302309877261","0.0276309303939016","-285.418673059095","67"
"98","KBS0812","2","1516315.74713985","0.605928338089427","0.0275686517054991","-285.071096529515","67"
"99","KBS0812","3","2381137.71433115","0.531690998302083","0.0321341207959494","-264.533330224107","67"
"100","KBS0812","4","23971144558.059","0.23261134321882","0.0355656629546816","-250.527459332447","67"
