"sample","ratio.min","ratio.max","live.dens","act.dens","dorm.dens","act.perc","dorm.perc","mean.act","median.act","mode.act"
"061815_BCSP_001.fcs",-1.51782115678451,3.51782115678451,27868500,670300,27198200,2.405,97.595,1.42973793909412,1.20396850777162,NA
"061815_BCSP_001u.fcs",-1.16461708624894,3.16461708624894,999600,43200,956400,4.322,95.678,1.57325119048969,1.30904139193215,NA
"061815_BCSP_002.fcs",-10.8229007012783,12.8229007012783,4696700,4300,4692400,0.092,99.908,1.36821738790009,1.10378972720889,NA
"061815_BCSP_002u.fcs",-0.982364745104554,2.98236474510455,991900,51800,940100,5.222,94.778,1.51611630540368,1.24616631394642,NA
"061815_BCSP_004.fcs",0.170425315239234,1.82957468476077,1581000,221600,1359400,14.016,85.984,1.21583984215199,1.02315483120997,NA
"061815_BCSP_004u.fcs",-14.7457889799902,16.7457889799902,976800,300,976500,0.031,99.969,1.53167063915642,1.16416321999519,NA
"061815_BCSP_010.fcs",-1.01379333090211,3.01379333090211,8960400,374600,8585800,4.181,95.819,1.38537972780976,1.17973093313913,NA
"061815_BCSP_010u.fcs",0.0807036749097875,1.91929632509021,998100,176100,822000,17.644,82.356,1.4773447637342,1.26187297104739,NA
"061815_BCSP_015.fcs",-0.618947443198816,2.61894744319882,6513200,490400,6022800,7.529,92.471,1.43441672909359,1.2096990268105,NA
"061815_BCSP_015u.fcs",-2.96280717834772,4.96280717834772,994000,8600,985400,0.865,99.135,1.46988985435132,1.27971713126614,NA
"061815_BCSP_016_2.fcs",-1.54160315196792,3.54160315196792,7636200,134100,7502100,1.756,98.244,1.31810884009523,1.12548813911793,NA
"061815_BCSP_016u_2.fcs",-0.211545617795724,2.21154561779572,997400,117600,879800,11.791,88.209,1.50873329551445,1.26751808103148,NA
"061815_BCSP_018.fcs",-7.20202003432064,9.20202003432064,4502700,5900,4496800,0.131,99.869,1.38519077827606,1.16612052092659,NA
"061815_BCSP_018u.fcs",-4.0985896687624,6.0985896687624,995000,5800,989200,0.583,99.417,1.52847960472139,1.26265096923167,NA
"061815_BCSP_020.fcs",-6.35272032928359,8.35272032928358,14027900,24500,14003400,0.175,99.825,1.39145115530885,1.20544385455515,NA
"061815_BCSP_020u.fcs",-0.428618873193086,2.42861887319309,998600,97300,901300,9.744,90.256,1.5741207379552,1.30287718373281,NA
"061815_BCSP_048.fcs",-5.84947959262307,7.84947959262307,4540000,9000,4531000,0.198,99.802,1.3890047312165,1.14610610705269,NA
"061815_BCSP_048u.fcs",-17.7709583313178,19.7709583313178,188900,100,188800,0.053,99.947,1.97803444686153,1.29750008431245,NA
"061815_BCSP_049.fcs",-0.919965821791136,2.91996582179114,14121400,697900,13423500,4.942,95.058,1.38144437664783,1.15618923242966,NA
"061815_BCSP_049u.fcs",0.0359314568623375,1.96406854313766,246300,41100,205200,16.687,83.313,1.51508712514677,1.28773926330143,NA
"061815_BCSP_051.fcs",-0.329059864939193,2.32905986493919,4500500,427400,4073100,9.497,90.503,1.38193494844123,1.17277484586415,NA
"061815_BCSP_051u.fcs",-1.10413448478543,3.10413448478543,169300,7800,161500,4.607,95.393,1.57522302510307,1.29294645538769,NA
"061815_BCSP_105.fcs",-3.05911345548528,5.05911345548528,4085400,38800.0000000005,4046600,0.95,99.05,1.4215835568029,1.17701827823939,NA
"061815_BCSP_105u.fcs",-0.323085962368347,2.32308596236835,144400,14900,129500,10.319,89.681,1.56684013053632,1.31364591960273,NA
"061815_BCSP_108.fcs",-1.36225427711685,3.36225427711685,8645200,325700,8319500,3.767,96.233,1.45059841490629,1.19992941231909,NA
"061815_BCSP_108u.fcs",-1.55361869898315,3.55361869898315,211100,7600,203500,3.6,96.4,1.66716572134039,1.30609104124593,NA
"061815_BCSP_262.fcs",-0.930942183605415,2.93094218360541,6467400,277100,6190300,4.285,95.715,1.34058936224091,1.1293206899384,NA
"061815_BCSP_262u.fcs",-1.6594837725842,3.6594837725842,976000,20700,955300,2.121,97.879,1.51775247690553,1.26536802254265,NA
"061815_BCSP_L01.fcs",-2.58451015234975,4.58451015234975,4404900,67700,4337200,1.537,98.463,1.42162599150308,1.15962307009695,NA
"061815_BCSP_L01u.fcs",-0.838090778657739,2.83809077865774,989700,59300,930400,5.992,94.008,1.48608170786699,1.23620769043473,NA
"061815_BCSP_L03.fcs",-4.67265729205707,6.67265729205707,7596000,34900,7561100,0.459,99.541,1.32778645988113,1.10671661292013,NA
"061815_BCSP_L03u.fcs",-0.903296245858199,2.9032962458582,994500,58900,935600,5.923,94.077,1.55422304635053,1.28142322224758,NA
"061815_HNF_237.fcs",-0.551754743827845,2.55175474382784,2700600,136700,2563900,5.062,94.938,1.22359825539136,1.02459357196012,NA
"061815_YSF_004.fcs",-30.8481428904687,32.8481428904687,4648400,1100,4647300,0.024,99.976,1.21070796936422,1.18475137077816,NA
"061815_YSF_004u.fcs",-37.6203795684772,39.6203795684772,996200,0,996200,0,100,1.12345414974311,1.28565049959938,NA
"061815_YSF_044.fcs",-29.8173819555242,31.8173819555242,4394800,800,4394000,0.018,99.982,1.35954974218736,1.23748477368357,NA
"061815_YSF_044u.fcs",-0.356264802598423,2.35626480259842,995900,111200,884700,11.166,88.834,1.55580554300216,1.30684582170737,NA
"061815_YSF_045.fcs",-0.398419513049152,2.39841951304915,3346300,254400,3091900,7.602,92.398,1.34356326771951,1.150374894238,NA
"061815_YSF_045u.fcs",-3.27498233870083,5.27498233870083,991200,10000,981200,1.009,98.991,1.53714623804673,1.27957457715895,NA
"061815_YSF_046.fcs",-1.65563849485285,3.65563849485285,8593400,177100,8416300,2.061,97.939,1.4129685169245,1.22320755051818,NA
"061815_YSF_046u.fcs",-5.21465203452845,7.21465203452845,999400,4000,995400,0.4,99.6,1.56991871426823,1.30777885527805,NA
"061815_YSF_047.fcs",-0.365841751299627,2.36584175129963,7563100,479100,7084000,6.335,93.665,1.28100912733689,1.09974194906023,NA
"061815_YSF_047u.fcs",-0.375076609000939,2.37507660900094,988800,90600,898200,9.163,90.837,1.4915531350431,1.26816843692868,NA
"061815_YSF_070.fcs",-33.3688526310758,35.3688526310758,3131400,700,3130700,0.022,99.978,1.13051594105899,1.07418576595043,NA
"061815_YSF_070u.fcs",-0.563641923231551,2.56364192323155,990300,69800,920500,7.048,92.952,1.42408459117611,1.1880637356444,NA
"061815_YSF_071.fcs",-12.4817234426376,14.4817234426376,11054500,8600,11045900,0.078,99.922,1.3988703394948,1.17461693756216,NA
"061815_YSF_071u.fcs",-1.82470675077241,3.82470675077241,996800,25000,971800,2.508,97.492,1.51754649354112,1.27740825179909,NA
"061815_YSF_074.fcs",-2.0519842699374,4.0519842699374,8131600,141700.000000001,7989900,1.743,98.257,1.3966031849048,1.1913475278165,NA
"061815_YSF_074u.fcs",-0.206317603495178,2.20631760349518,995100,128100,867000,12.873,87.127,1.53819389139092,1.27588598698458,NA
